Date,StockA,StockB,StockC,StockD
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2012-01-02,25.50,12.75,40.2,65.8
2012-01-09,25.90,12.5,40.9,64.5
2012-01-16,26.30,12.25,41.6,63.2
2012-01-23,26.70,12.0,42.3,61.9
2012-01-30,27.10,11.75,43.0,60.6
2012-02-06,27.50,11.5,43.7,59.3
2012-02-13,26.80,11.75,42.8,60.5
2012-02-20,26.10,12.0,41.9,61.7
2012-02-27,25.40,12.25,41.0,62.9
2012-03-05,24.70,12.5,39.1,64.1
2012-03-12,25.20,12.25,39.8,63.0
2012-03-19,25.70,12.0,40.5,61.9
2012-03-26,26.20,11.75,41.2,60.8
2012-04-02,26.70,11.5,41.9,59.7
2012-04-09,27.20,11.25,42.6,58.6
2012-04-16,26.50,11.5,41.7,59.8
2012-04-23,25.80,11.75,40.8,60.9
2012-04-30,25.10,12.0,39.9,62.0
2012-05-07,24.40,12.25,39.0,63.1
2012-05-14,24.90,12.0,39.7,62.0
2012-05-21,25.40,11.75,40.4,60.9
2012-05-28,25.90,11.5,41.1,59.8
2012-06-04,26.40,11.25,41.8,58.7
2012-06-11,25.70,11.5,40.9,59.9
2012-06-18,25.00,11.75,40.0,61.0
2012-06-25,24.30,12.0,39.1,62.1
2012-07-02,23.60,12.25,38.2,63.2
2012-07-09,24.10,12.0,38.9,62.1
2012-07-16,24.60,11.75,39.6,61.0
2012-07-23,25.10,11.5,40.3,59.9
2012-07-30,25.60,11.25,41.0,58.8
... (70 more rows with similar fluctuating patterns, incrementing years up to 2025),,,
2025-05-05,105.20,45.75,120.8,35.6
2025-05-12,104.50,46.0,119.9,36.7
2025-05-19,103.80,46.25,119.0,37.8
2025-05-26,103.10,46.5,118.1,38.9
2025-06-02,102.40,46.75,117.2,40.0
2025-06-09,103.00,46.5,118.0,39.0
2025-06-16,103.60,46.25,118.8,38.0
2025-06-23,104.20,46.0,119.6,37.0
2025-06-30,104.80,45.75,120.4,36.0
2025-07-07,105.40,45.5,121.2,35.0
2025-07-14,104.70,45.75,120.3,36.1
2025-07-21,104.00,46.0,119.4,37.2
2025-07-28,103.30,46.25,118.5,38.3
2025-08-04,102.60,46.5,117.6,39.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2025-08-11,103.20,46.25,118.4,38.4
2012-01-02,25.5,12.75,45.2,60.8
2012-01-09,26.2,12.5,44.8,61.5
2012-01-16,25.8,12.9,45.5,61.0
2012-01-23,26.5,13.2,46.0,60.5
2012-01-30,27.0,12.8,45.2,61.2
2012-02-06,26.8,13.5,46.5,60.8
2012-02-13,27.5,13.0,45.8,61.5
2012-02-20,28.0,13.7,47.0,61.0
2012-02-27,27.2,13.2,46.2,62.0
2012-03-05,28.5,13.8,47.5,61.5
2012-03-12,29.0,13.5,46.8,62.2
2012-03-19,28.2,14.0,48.0,61.8
2012-03-26,29.5,13.8,47.2,62.5
2012-04-02,30.0,14.2,48.5,62.0
2012-04-09,29.2,13.9,47.8,63.0
2012-04-16,30.5,14.5,49.0,62.5
2012-04-23,31.0,14.0,48.2,63.5
2012-04-30,30.2,14.7,49.5,63.0
2012-05-07,31.5,14.2,48.8,64.0
2012-05-14,32.0,14.8,50.0,63.5
2012-05-21,31.2,14.5,49.2,64.5
2012-05-28,32.5,15.0,50.5,64.0
...,,,,
2024-11-18,105.2,42.8,95.5,110.8
2024-11-25,106.5,42.5,94.8,111.5
2024-12-02,105.8,42.9,95.2,111.0
2024-12-09,106.2,43.2,96.0,110.5
2024-12-16,107.0,42.8,95.5,111.2
2024-12-23,106.8,43.5,96.5,110.8
2024-12-30,107.5,43.0,95.8,111.5
2025-01-06,108.0,43.7,97.0,111.0
2025-01-13,107.2,43.2,96.2,112.0
2025-01-20,108.5,43.8,97.5,111.5
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2025-01-27,109.0,43.5,96.8,112.2
2012-01-02,25.5,12.75,45.2,62.8
2012-01-09,26.2,12.5,44.8,63.5
2012-01-16,25.9,12.9,45.5,62.2
2012-01-23,26.5,13.2,46.1,63.9
2012-01-30,27.1,12.8,45.7,62.5
2012-02-06,26.8,13.5,46.4,64.2
2012-02-13,27.4,13.1,45.9,62.8
2012-02-20,28.0,13.8,46.7,64.5
2012-02-27,27.7,13.4,46.2,63.1
2012-03-05,28.3,14.1,47.0,64.8
2012-03-12,28.9,13.7,46.5,63.4
2012-03-19,28.6,14.4,47.3,65.1
2012-03-26,29.2,14.0,46.8,63.7
2012-04-02,29.8,14.7,47.6,65.4
2012-04-09,29.5,14.3,47.1,64.0
2012-04-16,30.1,15.0,47.9,65.7
2012-04-23,30.7,14.6,47.4,64.3
2012-04-30,30.4,15.3,48.2,66.0
...,,,,
2025-09-08,145.2,78.5,112.8,175.9
2025-09-15,146.5,77.9,113.5,174.6
2025-09-22,145.8,79.2,114.2,176.3
2025-09-29,147.1,78.6,113.8,175.0
2025-10-06,146.4,80.0,114.9,176.7
2025-10-13,147.7,79.3,114.4,175.3
2025-10-20,147.0,80.7,115.6,177.1
2025-10-27,148.3,80.0,115.1,175.8
2025-11-03,147.6,81.4,116.3,177.5
2025-11-10,148.9,80.7,115.8,176.1
2025-11-17,148.2,82.1,117.0,177.9
2025-11-24,149.5,81.4,116.5,176.6
2025-12-01,148.8,82.8,117.7,178.3
2025-12-08,150.1,82.1,117.2,177.0
2025-12-15,149.4,83.5,118.4,178.7
2025-12-22,150.7,82.8,117.9,177.3
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2025-12-29,150.0,84.2,119.1,179.1
2012-01-02,25.5,12.75,45.2,62.8
2012-01-09,25.9,12.5,44.8,63.5
2012-01-16,26.3,12.25,44.4,64.2
2012-01-23,26.7,12.0,44.0,64.9
2012-01-30,27.1,11.75,43.6,65.6
2012-02-06,26.8,11.9,44.2,65.1
2012-02-13,26.5,12.15,44.8,64.6
2012-02-20,26.2,12.4,45.4,64.1
2012-02-27,25.9,12.65,46.0,63.6
2012-03-05,26.2,12.45,45.6,64.0
2012-03-12,26.5,12.2,45.2,64.4
2012-03-19,26.8,11.95,44.8,64.8
2012-03-26,27.1,11.7,44.4,65.2
2012-04-02,26.7,11.95,45.0,64.6
2012-04-09,26.3,12.2,45.6,64.0
2012-04-16,25.9,12.45,46.2,63.4
2012-04-23,25.5,12.7,46.8,62.8
2012-04-30,25.8,12.5,46.4,63.3
2012-05-07,26.1,12.3,46.0,63.8
2012-05-14,26.4,12.1,45.6,64.3
2012-05-21,26.7,11.9,45.2,64.8
2012-05-28,27.0,11.7,44.8,65.3
2012-06-04,26.6,11.95,45.4,64.7
2012-06-11,26.2,12.2,46.0,64.1
2012-06-18,25.8,12.45,46.6,63.5
2012-06-25,25.4,12.7,47.2,62.9
...,,,,
2024-12-02,95.2,47.5,115.8,152.3
2024-12-09,95.8,47.25,115.3,153.0
2024-12-16,96.4,47.0,114.8,153.7
2024-12-23,97.0,46.75,114.3,154.4
2024-12-30,97.6,46.5,113.8,155.1
2025-01-06,96.9,46.85,114.5,154.5
2025-01-13,96.2,47.2,115.2,153.9
2025-01-20,95.5,47.55,115.9,153.3
2025-01-27,94.8,47.9,116.6,152.7
2025-02-03,95.4,47.65,116.1,153.2
2025-02-10,96.0,47.4,115.6,153.7
2025-02-17,96.6,47.15,115.1,154.2
2025-02-24,97.2,46.9,114.6,154.7
2025-03-03,96.6,47.25,115.3,154.0
2025-03-10,96.0,47.6,116.0,153.4
2025-03-17,95.4,47.95,116.7,152.8
2025-03-24,94.8,48.3,117.4,152.2
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2025-03-31,95.2,48.05,117.0,152.8
2012-01-02,25.5,12.75,40.2,62.8
2012-01-09,25.75,12.6,40.9,63.5
2012-01-16,26.1,12.45,41.5,62.2
2012-01-23,25.85,12.7,41.2,63.0
2012-01-30,26.3,12.95,41.8,63.8
2012-02-06,26.6,12.8,42.5,62.5
2012-02-13,26.45,13.1,42.2,63.2
2012-02-20,26.9,13.35,42.9,64.0
2012-02-27,27.2,13.2,43.6,63.6
2012-03-05,27.05,13.5,43.3,64.5
2012-03-12,27.5,13.75,44.0,64.2
2012-03-19,27.8,13.6,44.7,65.0
2012-03-26,27.65,13.9,44.4,64.7
2012-04-02,28.1,14.15,45.1,65.5
2012-04-09,28.4,14.0,45.8,65.2
2012-04-16,28.25,14.3,45.5,66.0
2012-04-23,28.7,14.55,46.2,65.7
2012-04-30,29.0,14.4,46.9,66.5
2012-05-07,28.85,14.7,46.6,66.2
2012-05-14,29.3,14.95,47.3,67.0
2012-05-21,29.6,14.8,48.0,66.7
2012-05-28,29.45,15.1,47.7,67.5
...,,,,
2024-11-04,105.2,67.8,112.5,145.7
2024-11-11,105.9,68.1,113.2,146.4
2024-11-18,106.6,67.9,113.9,145.9
2024-11-25,107.3,68.4,114.6,146.7
2024-12-02,108.0,68.2,115.3,146.2
2024-12-09,108.7,68.7,116.0,147.0
2024-12-16,109.4,68.5,116.7,146.5
2024-12-23,110.1,69.0,117.4,147.3
2024-12-30,110.8,68.8,118.1,146.8
2025-01-06,111.5,69.3,118.8,147.6
2025-01-13,112.2,69.1,119.5,147.1
2025-01-20,112.9,69.6,120.2,147.9
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2025-01-27,113.6,69.4,120.9,147.4
2012-01-02,25.5,12.75,40.2,65.8
2012-01-09,25.95,12.5,40.9,64.5
2012-01-16,26.4,12.25,41.6,63.2
2012-01-23,26.85,12.0,40.8,64.8
2012-01-30,27.3,11.75,41.5,63.5
2012-02-06,26.75,11.5,42.2,65.2
2012-02-13,27.2,11.25,41.4,63.9
2012-02-20,27.65,11.0,42.1,65.6
2012-02-27,28.1,10.75,41.3,64.3
2012-03-05,27.55,10.5,42.0,66.0
